Percentage of patients;T-stage;Midline Extension;Involvement Ipsi;Involvement Contra;Treated Ipsi;Treated Contra;risk;lower bound;upper bound;top 3 spared lnls risk
0.0038022813688212928;early;True;['II', 'III'];['II', 'III'];['I', 'IV', 'II', 'III'];['IV', 'VII', 'II', 'III'];0.07697634778727264;0.06212513220798029;0.09334956940808702;[('ipsi V', 0.024915846976104057), ('contra I', 0.021018788333668423), ('ipsi VII', 0.017784407483562817)]
0.0038022813688212928;late;False;['III'];[];['IV', 'II', 'III'];[];0.09195358361258127;0.07298707949261023;0.1092395235098244;[('contra VII', 0.022384517795976243), ('ipsi V', 0.021180353785445742), ('ipsi I', 0.020356842377654928)]
0.0038022813688212928;early;True;['II', 'III', 'IV', 'V', 'VII'];['II', 'III'];['II', 'III', 'IV', 'V', 'VII'];['VII', 'IV', 'II', 'III'];0.0882546380563407;0.0666720096719152;0.11379557738818903;[('ipsi I', 0.041420262693513184), ('contra I', 0.027685260984919507), ('contra V', 0.022101087133110067)]
0.0038022813688212928;late;False;['II', 'IV'];[];['I', 'III', 'II', 'IV'];[];0.08495375013090295;0.06730841233867291;0.10707809764919372;[('contra VII', 0.025891238176997795), ('ipsi V', 0.025321969554494447), ('ipsi VII', 0.018677377232216092)]
0.0038022813688212928;early;True;['II', 'VII'];[];['III', 'II', 'VII'];['II'];0.08290789204282265;0.06659583680387937;0.0989903173601009;[('contra VII', 0.030894266505266832), ('ipsi I', 0.01849566860765438), ('contra III', 0.010727880869688624)]
0.0038022813688212928;late;False;['II', 'V'];[];['I', 'III', 'II', 'V'];[];0.08478700554403976;0.06523347356981847;0.10938929574159835;[('ipsi IV', 0.027199965886623986), ('contra VII', 0.02500566718259712), ('ipsi VII', 0.018016786584185138)]
0.0038022813688212928;late;True;['II', 'III', 'VII'];[];['IV', 'VII', 'II', 'III'];['VII', 'II'];0.07944284031669605;0.06766506624502111;0.09238502262087535;[('ipsi I', 0.03122927033859256), ('ipsi V', 0.027084143379599183), ('contra III', 0.01476609043741473)]
0.0038022813688212928;late;True;['I', 'II', 'III', 'V', 'VII'];['II', 'IV'];['IV', 'I', 'II', 'III', 'V', 'VII'];['VII', 'III', 'II', 'IV'];0.056370628440524026;0.040666169993712156;0.07216323263545096;[('contra I', 0.03000484846207687), ('contra V', 0.027427180794101606)]
0.0038022813688212928;late;False;['I', 'II', 'III', 'IV'];[];['V', 'I', 'II', 'III', 'IV'];[];0.07221184251530302;0.0496788247676116;0.0969006157959983;[('contra VII', 0.030865301294747568), ('ipsi VII', 0.022434533674479826), ('contra II', 0.01633185361315951)]
0.0038022813688212928;late;True;['I', 'II', 'III', 'V'];['II', 'V'];['IV', 'I', 'II', 'III', 'V'];['VII', 'III', 'II', 'V'];0.07694241082677475;0.06077841409947761;0.09990684406235581;[('contra I', 0.028186840779164155), ('contra IV', 0.027025746230355065), ('ipsi VII', 0.024135959677713748)]
0.0038022813688212928;late;True;['II', 'III', 'VII'];['II'];['IV', 'II', 'III', 'VII'];['VII', 'III', 'II'];0.09045239691524737;0.07316452522628936;0.1069702057025462;[('ipsi I', 0.033790725892591904), ('ipsi V', 0.029486494868341435), ('contra I', 0.016964049772311314)]
0.0038022813688212928;late;True;['II', 'III', 'V'];['II'];['IV', 'II', 'III', 'V'];['VII', 'III', 'II'];0.08588228157125498;0.06955438518624434;0.10564484893945209;[('ipsi I', 0.0363997634828219), ('ipsi VII', 0.020695005680077688), ('contra I', 0.01753307876141638)]
