Percentage of patients;T-stage;Midline Extension;Involvement Ipsi;Involvement Contra;Treated Ipsi;Treated Contra;risk;lower bound;upper bound;top 3 spared lnls risk
0.003484320557491289;late;False;['I', 'II', 'III'];[];['IV', 'I', 'II', 'III'];[];0.059484365777246515;0.04946428336447265;0.06910741714076017;[('ipsi VII', 0.01976412774928887), ('contra II', 0.016688449556814526), ('ipsi V', 0.01616216287856155)]
0.006968641114982578;late;False;['IV'];[];['III', 'II', 'IV'];[];0.09678953321824649;0.07515137789563747;0.12473361854369822;[('ipsi V', 0.046875576880239904), ('ipsi I', 0.01651455931273945), ('ipsi VII', 0.01625973294243234)]
0.003484320557491289;late;False;['II', 'VII'];[];['III', 'II', 'VII'];[];0.07058709539226646;0.059577396160453565;0.08175719886629731;[('ipsi I', 0.024659243986733536), ('contra II', 0.015205332646635776), ('ipsi V', 0.013063114844099265)]
0.003484320557491289;early;False;['II', 'III'];['II', 'III', 'IV', 'V'];['IV', 'II', 'III'];['II', 'III', 'IV', 'V'];0.08118276770629003;0.07006441414423896;0.09454338128212628;[('ipsi I', 0.03222192634763162), ('ipsi VII', 0.023528700551409192), ('ipsi V', 0.01994759281726522)]
0.013937282229965157;early;False;['II', 'III'];['II'];['IV', 'II', 'III'];['III', 'II'];0.06251004918122917;0.05388961465261721;0.07310316623138133;[('ipsi I', 0.023610402506155297), ('ipsi VII', 0.016761044778405267), ('ipsi V', 0.013255661511788665)]
0.017421602787456445;late;True;['II', 'III'];['II'];['IV', 'II', 'III'];['III', 'II'];0.08552043526030767;0.07476304901876116;0.09830298154236089;[('ipsi I', 0.026453965999809478), ('ipsi VII', 0.018968893156930004), ('ipsi V', 0.015389117630816426)]
0.003484320557491289;late;True;['II'];['II', 'VII'];['III', 'II'];['III', 'VII', 'II'];0.08750886904561786;0.07576839552412731;0.09889277089161537;[('ipsi I', 0.02582879959837058), ('ipsi VII', 0.018501201598677453), ('ipsi IV', 0.014034863091564698)]
0.003484320557491289;late;True;[];['II'];['III', 'II'];['III', 'II'];0.065602903515964;0.05557318756876329;0.07549186995036271;[('ipsi VII', 0.014247590190491061), ('ipsi I', 0.013527251376653442), ('ipsi V', 0.010489706304463772)]
0.010452961672473868;late;True;['II'];['II'];['III', 'II'];['III', 'II'];0.08483516731849206;0.07297894895663402;0.0960067160963325;[('ipsi I', 0.02348309215310816), ('ipsi VII', 0.01656843285606819), ('ipsi V', 0.01229386754828236)]
0.003484320557491289;late;False;['II'];['II'];['III', 'II'];['III', 'II'];0.07402040181704338;0.062030592745640864;0.0859110717519302;[('ipsi I', 0.024111675078289086), ('ipsi VII', 0.01709040027318238), ('ipsi V', 0.012703562984268954)]
0.010452961672473868;late;True;['II', 'VII'];['II'];['III', 'VII', 'II'];['III', 'II'];0.07776057804500153;0.06587867480597968;0.08996550564606247;[('ipsi I', 0.025860996929096856), ('ipsi IV', 0.014068185864593276), ('ipsi V', 0.01382990114559356)]
0.013937282229965157;early;True;[];[];['II'];['II'];0.07039172128173946;0.05979442932969007;0.07925799488746099;[('ipsi III', 0.03328884768229452), ('ipsi VII', 0.008207793077502884), ('ipsi I', 0.00813896467206421)]
0.003484320557491289;early;True;['VII'];[];['II', 'VII'];['II'];0.09177118621578541;0.07635438134338504;0.10404296937277281;[('ipsi III', 0.050849866328488307), ('ipsi I', 0.011220454465240719), ('contra III', 0.009450818578138464)]
0.006968641114982578;early;True;['II', 'III'];[];['IV', 'II', 'III'];['II'];0.07024601636941745;0.06083355249426468;0.07989516888040361;[('ipsi I', 0.020915973001023814), ('ipsi VII', 0.014734223833704811), ('contra III', 0.012124240292977812)]
0.003484320557491289;late;False;['I', 'II'];['VII'];['III', 'I', 'II'];['VII'];0.06523556743875429;0.05610780722548146;0.07358790640502019;[('ipsi VII', 0.01917220843780587), ('contra II', 0.01630069411555848), ('ipsi IV', 0.01493736582338841)]
0.020905923344947737;late;True;['I', 'II', 'III'];[];['IV', 'I', 'II', 'III'];['II'];0.06554920863877367;0.05426468151493008;0.07652307147230158;[('ipsi VII', 0.019074396648372925), ('contra III', 0.016139991912489996), ('ipsi V', 0.015476566427098661)]
0.003484320557491289;late;True;['III'];[];['IV', 'II', 'III'];['II'];0.06969833966682194;0.060030991107399206;0.0792620085009432;[('ipsi I', 0.017528060310647194), ('ipsi VII', 0.015503317845840425), ('contra III', 0.012828993039678407)]
